Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 17:12:01,1,0.0,0.4,141.77,50.8,-3.97,-15.0,-0.102,0.4543,143.4,75.6,0.0,0.03,-0.107,-0.092,-0.157,-0.031,5.0616
2026-04-19 17:12:01,2,0.0016666666666666668,0.4,141.53,50.52,-1.51,-15.0,-0.102,0.4543,143.4,75.6,0.0,0.03,-0.107,-0.093,-0.157,-0.031,5.0616
2026-04-19 17:12:02,3,0.0033333333333333335,0.4,141.29,50.24,-2.54,-15.0,-0.102,0.4543,143.4,75.6,0.0,0.25,-0.107,-0.016,-0.144,-0.018,5.0616
2026-04-19 17:12:02,4,0.005000000000000001,0.4,141.05,49.96,-3.03,-15.0,-0.102,0.4543,143.4,75.6,0.01,0.35,-0.103,-0.063,-0.146,-0.025,5.0616
2026-04-19 17:12:02,5,0.006666666666666667,0.4,140.8,49.68,-2.77,-15.0,-0.1002,0.4566,142.8,75.6,0.07,0.45,0.075,-0.116,0.057,-0.09,0.2816
2026-04-19 17:12:02,6,0.008333333333333333,0.4,140.56,49.4,-3.8,-15.0,-0.0902,0.4524,142.8,73.2,0.01,0.41,0.103,0.096,2.05,-3.105,0.0305
2026-04-19 17:12:02,7,0.010000000000000002,0.4,140.31,49.12,-4.32,-15.0,-0.0877,0.4513,142.8,72.6,0.01,0.38,0.102,0.081,0.598,-0.13,0.1879
2026-04-19 17:12:02,8,0.011666666666666667,0.4,140.07,48.84,-4.04,-15.0,-0.0809,0.4513,142.2,71.4,0.09,0.43,0.063,0.104,0.26,0.095,0.4238
2026-04-19 17:12:02,9,0.013333333333333334,0.4,139.82,48.57,-4.14,-15.0,-0.0767,0.4524,141.6,70.8,0.02,0.38,0.1,0.079,0.509,0.381,0.0786
2026-04-19 17:12:02,10,0.015,0.4,139.57,48.29,-5.07,-15.0,-0.0718,0.45,141.6,69.6,0.03,0.31,0.095,0.046,-0.136,0.12,0.6605
