Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 17:06:49,1,0.1,0.35,131.36,27.4,-4.45,-15.0,0.0589,0.3964,133.2,40.8,0.01,0.15,0.105,0.033,-0.129,-0.042,-0.7148
2026-04-19 17:06:49,2,0.09995065603657316,0.3531410759078128,131.05,27.91,-1.76,-8.44,0.0589,0.3964,133.2,40.8,0.01,0.14,0.105,0.038,-0.138,-0.039,-0.7148
2026-04-19 17:06:49,3,0.09980267284282716,0.3562790519529313,130.75,28.43,-0.12,-13.68,0.0667,0.4002,131.4,40.2,0.0,0.49,0.107,0.136,1.957,1.028,0.136
2026-04-19 17:06:49,4,0.099556196460308,0.3594108313318514,130.47,28.97,-1.82,-13.93,0.0685,0.398,131.4,39.6,0.0,0.38,0.106,0.081,0.958,0.696,0.1777
2026-04-19 17:06:49,5,0.0992114701314478,0.3625333233564304,130.2,29.52,-1.98,-12.95,0.0737,0.3912,131.4,37.8,0.03,0.42,0.094,0.101,0.028,0.004,194.2036
2026-04-19 17:06:49,6,0.09876883405951378,0.3656434465040231,129.95,30.08,-2.44,-13.34,0.077,0.3867,131.4,36.6,0.02,0.32,0.097,0.053,0.067,-0.077,0.9946
2026-04-19 17:06:50,7,0.09822872507286888,0.3687381314585724,129.71,30.65,-0.97,-12.7,0.0844,0.386,130.2,35.4,0.03,0.29,0.095,0.033,3.871,-4.943,0.0151
2026-04-19 17:06:50,8,0.09759167619387475,0.3718143241396542,129.49,31.23,-2.22,-10.99,0.0892,0.3789,130.2,33.6,0.01,0.18,0.102,0.017,-0.349,-0.258,-0.1949
2026-04-19 17:06:50,9,0.09685831611286311,0.37486898871648544,129.28,31.83,-2.36,-11.2,0.0907,0.3766,130.2,33.0,0.03,0.22,0.093,0.001,-0.002,-0.022,-3.5654
2026-04-19 17:06:50,10,0.09602936856769431,0.3778991106039229,129.08,32.43,-1.75,-10.23,0.0943,0.3761,129.6,32.4,0.02,0.08,0.1,0.069,-0.042,-0.075,-1.6379
2026-04-19 17:06:50,11,0.09510565162951536,0.38090169943749475,128.91,33.04,-2.47,-10.11,0.0943,0.3761,129.6,32.4,0.0,0.09,0.107,0.064,-0.036,-0.078,-1.6379
2026-04-19 17:06:50,12,0.09408807689542255,0.3838737920245291,128.74,33.66,-2.64,-9.36,0.0943,0.3761,129.6,32.4,0.0,0.03,0.107,0.092,-0.062,-0.085,-1.6379
2026-04-19 17:06:50,13,0.09297764858882515,0.38681245526846775,128.59,34.29,-1.98,-8.62,0.0964,0.3781,129.0,32.4,0.03,0.07,0.096,0.074,0.049,-0.205,-0.1143
2026-04-19 17:06:50,14,0.09177546256839812,0.38971478906347806,128.46,34.92,-1.7,-7.72,0.0985,0.38,128.4,32.4,0.02,0.04,0.099,0.089,0.525,0.031,-0.4024
2026-04-19 17:06:50,15,0.09048270524660196,0.39257792915650724,128.34,35.56,-2.19,-7.67,0.097,0.3823,128.4,33.0,0.0,0.14,0.107,-0.038,2.293,3.771,0.0076
2026-04-19 17:06:50,16,0.0891006524188368,0.39539904997395464,128.23,36.21,-2.22,-8.07,0.0939,0.3871,128.4,34.2,0.0,0.03,0.107,-0.092,-0.103,-0.09,-0.3336
