Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 14:41:10,1,0.1,0.35,131.36,27.4,-11.77,-15.0,0.0181,0.4189,136.2,50.4,0.01,0.05,0.106,0.082,0.037,-0.545,-0.1999
2026-04-19 14:41:10,2,0.09995065603657316,0.3531410759078128,131.05,27.91,-3.84,-15.0,0.0181,0.4189,136.2,50.4,0.01,0.05,0.105,0.082,0.036,-0.544,-0.1999
2026-04-19 14:41:10,3,0.09980267284282716,0.3562790519529313,130.75,28.43,-6.53,-15.0,0.0181,0.4189,136.2,50.4,0.01,0.04,0.104,0.09,0.029,-0.561,-0.1999
2026-04-19 14:41:10,4,0.099556196460308,0.3594108313318514,130.47,28.97,-7.4,-15.0,0.0181,0.4189,136.2,50.4,0.01,0.03,0.102,0.091,0.026,-0.556,-0.1999
2026-04-19 14:41:10,5,0.0992114701314478,0.3625333233564304,130.2,29.52,-8.65,-15.0,0.0181,0.4189,136.2,50.4,0.02,0.02,0.1,0.098,0.018,-0.567,-0.1999
2026-04-19 14:41:10,6,0.09876883405951378,0.3656434465040231,129.95,30.08,-8.94,-15.0,0.02,0.421,135.6,50.4,0.01,0.02,0.102,0.096,-0.375,0.255,0.3197
2026-04-19 14:41:10,7,0.09822872507286888,0.3687381314585724,129.71,30.65,-10.56,-15.0,0.02,0.421,135.6,50.4,0.02,0.02,0.098,0.097,-0.366,0.245,0.3197
2026-04-19 14:41:10,8,0.09759167619387475,0.3718143241396542,129.49,31.23,-10.73,-15.0,0.022,0.4231,135.0,50.4,0.02,0.03,0.101,0.091,0.006,-0.012,10.524
2026-04-19 14:41:10,9,0.09685831611286311,0.37486898871648544,129.28,31.83,-12.34,-15.0,0.022,0.4231,135.0,50.4,0.01,0.02,0.103,0.098,0.007,-0.006,10.524
2026-04-19 14:41:11,10,0.09602936856769431,0.3778991106039229,129.08,32.43,-13.38,-15.0,0.022,0.4231,135.0,50.4,0.01,0.05,0.104,0.083,0.005,-0.027,10.524
