Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 17:19:58,1,0.0,0.4,141.77,50.8,15.0,-12.06,0.0166,0.4533,130.8,55.8,0.0,0.02,-0.107,-0.099,0.093,0.073,3.7534
2026-04-19 17:19:58,2,0.0016666666666666668,0.4,141.53,50.52,7.24,-3.93,0.0166,0.4533,130.8,55.8,0.24,0.03,-0.009,-0.093,-0.003,0.024,3.7534
2026-04-19 17:19:58,3,0.0033333333333333335,0.4,141.29,50.24,9.57,-6.65,0.0105,0.4475,132.6,55.8,1.16,0.28,-0.47,-0.031,3.09,-2.148,-0.1505
2026-04-19 17:19:59,4,0.005000000000000001,0.4,141.05,49.96,1.32,-7.58,-0.0105,0.4247,139.2,55.8,0.0,0.14,-0.107,-0.037,0.154,-0.157,-0.5405
2026-04-19 17:19:59,5,0.006666666666666667,0.4,140.8,49.68,5.62,-7.92,-0.0101,0.4207,139.8,55.2,0.0,0.24,-0.107,0.013,0.04,0.229,0.3002
2026-04-19 17:19:59,6,0.008333333333333333,0.4,140.56,49.4,6.13,-9.54,-0.0083,0.4229,139.2,55.2,0.42,0.26,0.098,0.021,0.044,-0.227,0.5153
2026-04-19 17:19:59,7,0.010000000000000002,0.4,140.31,49.12,7.6,-9.75,-0.0024,0.4255,138.0,54.6,0.01,0.19,0.106,0.015,0.02,-0.099,0.9849
2026-04-19 17:19:59,8,0.011666666666666667,0.4,140.07,48.84,6.88,-9.53,0.0019,0.4219,138.0,53.4,0.06,0.26,-0.077,0.02,-0.001,0.032,5.458
2026-04-19 17:19:59,9,0.013333333333333334,0.4,139.82,48.57,7.18,-10.5,0.0041,0.4201,138.0,52.8,0.06,0.26,-0.078,0.018,-0.147,-0.019,0.1942
2026-04-19 17:19:59,10,0.015,0.4,139.57,48.29,7.24,-9.9,0.0083,0.4164,138.0,51.6,0.0,0.26,-0.107,0.022,-0.185,-0.029,2.2666
2026-04-19 17:19:59,11,0.016666666666666666,0.4,139.33,48.02,7.29,-11.62,0.0083,0.4164,138.0,51.6,0.01,0.31,-0.106,0.044,-0.176,-0.022,2.2666
