Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 17:19:58,1,0.0,0.4,141.77,50.8,15.0,-12.06,0.0166,0.4533,130.8,55.8,0.0,0.02,-0.107,-0.099,0.0931980324480214,0.0730019410158689,3.7533885310492496
2026-04-19 17:19:58,2,0.0016666666666666,0.4,141.53,50.52,7.24,-3.93,0.0166,0.4533,130.8,55.8,0.24,0.03,-0.009,-0.093,-0.0027475321496107895,0.02374775105480372,3.7533885310492496
2026-04-19 17:19:58,3,0.0033333333333333,0.4,141.29,50.24,9.57,-6.65,0.0105,0.4475,132.6,55.8,1.16,0.28,-0.47,-0.031,3.086408327666928,-2.1448904299295557,-0.15052455001283369
2026-04-19 17:19:59,4,0.005,0.4,141.05,49.96,1.32,-7.58,-0.0105,0.4247,139.2,55.8,0.0,0.14,-0.107,-0.037,0.15473036789634653,-0.15766535519811387,-0.5405390696998051
2026-04-19 17:19:59,5,0.0066666666666666,0.4,140.8,49.68,5.62,-7.92,-0.0101,0.4207,139.8,55.2,0.0,0.24,-0.107,0.013,0.04002071228747333,0.22898797698946552,0.30024980741674007
2026-04-19 17:19:59,6,0.0083333333333333,0.4,140.56,49.4,6.13,-9.54,-0.0083,0.4229,139.2,55.2,0.42,0.26,0.098,0.021,0.04360657891216253,-0.22615095521026715,0.51526237329711
2026-04-19 17:19:59,7,0.01,0.4,140.31,49.12,7.6,-9.75,-0.0024,0.4255,138.0,54.6,0.01,0.19,0.106,0.015,0.019736511130659558,-0.09864557085672425,0.9849248652294795
2026-04-19 17:19:59,8,0.0116666666666666,0.4,140.07,48.84,6.88,-9.53,0.0019,0.4219,138.0,53.4,0.06,0.26,-0.077,0.02,-0.0010228265082814388,0.03219247731746796,5.4580420460996875
2026-04-19 17:19:59,9,0.0133333333333333,0.4,139.82,48.57,7.18,-10.5,0.0041,0.4201,138.0,52.8,0.06,0.26,-0.078,0.018,-0.1510012701946956,-0.021630396944149567,0.19424196771030564
2026-04-19 17:19:59,10,0.015,0.4,139.57,48.29,7.24,-9.9,0.0083,0.4164,138.0,51.6,0.0,0.26,-0.107,0.022,-0.18634582800523672,-0.029243364775280972,2.2665533399014617
