Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 17:25:37,1,0.0,0.4,141.77,50.8,15.0,-1.95,0.0486,0.4556,126.0,51.6,0.0,0.02,-0.107,-0.098,-0.193,-0.074,2.7953
2026-04-19 17:25:37,2,0.0016666666666666668,0.4,141.53,50.52,10.84,-1.02,0.0486,0.4556,126.0,51.6,0.0,0.02,-0.107,-0.098,-0.193,-0.074,2.7953
2026-04-19 17:25:37,3,0.0033333333333333335,0.4,141.29,50.24,15.0,-1.65,0.0442,0.4521,127.2,51.6,0.63,0.03,-0.205,-0.091,0.475,1.328,0.0174
2026-04-19 17:25:37,4,0.005000000000000001,0.4,141.05,49.96,12.74,-2.1,0.0317,0.4409,130.8,51.6,0.22,0.05,-0.002,-0.085,-0.303,-0.315,0.2291
2026-04-19 17:25:37,5,0.006666666666666667,0.4,140.8,49.68,6.8,-2.63,0.0102,0.4185,137.4,51.6,0.01,0.05,-0.106,-0.084,-0.245,-0.119,1.2273
2026-04-19 17:25:37,6,0.008333333333333333,0.4,140.56,49.4,11.07,-3.2,0.0083,0.4164,138.0,51.6,0.01,0.08,-0.104,-0.069,-0.211,-0.056,2.2666
2026-04-19 17:25:37,7,0.010000000000000002,0.4,140.31,49.12,11.84,-3.83,0.0102,0.4185,137.4,51.6,0.01,0.1,0.106,-0.06,0.152,0.023,1.2273
2026-04-19 17:25:37,8,0.011666666666666667,0.4,140.07,48.84,11.71,-4.49,0.0102,0.4185,137.4,51.6,0.01,0.18,0.106,-0.017,0.18,0.052,1.2273
2026-04-19 17:25:37,9,0.013333333333333334,0.4,139.82,48.57,12.01,-5.21,0.0102,0.4185,137.4,51.6,0.01,0.22,0.106,-0.003,0.189,0.061,1.2273
2026-04-19 17:25:37,10,0.015,0.4,139.57,48.29,12.19,-5.97,0.0102,0.4185,137.4,51.6,0.0,0.13,0.106,-0.045,0.162,0.034,1.2273
2026-04-19 17:25:37,11,0.016666666666666666,0.4,139.33,48.02,12.35,-6.77,0.0102,0.4185,137.4,51.6,0.0,0.26,0.107,-0.022,0.178,0.049,1.2273
2026-04-19 17:25:37,12,0.018333333333333333,0.4,139.08,47.74,12.45,-6.68,0.0123,0.4166,137.4,51.0,0.0,0.21,0.106,0.004,0.154,0.018,4.7856
2026-04-19 17:25:38,13,0.020000000000000004,0.4,138.83,47.47,12.51,-7.0,0.0144,0.4147,137.4,50.4,0.01,0.22,0.102,0.0,0.098,0.007,14.4855
2026-04-19 17:25:38,14,0.021666666666666667,0.4,138.57,47.2,12.53,-7.21,0.0165,0.4128,137.4,49.8,0.02,0.21,0.1,0.006,-0.103,-0.021,7.5137
2026-04-19 17:25:38,15,0.023333333333333334,0.4,138.32,46.93,12.51,-6.42,0.0206,0.4089,137.4,48.6,0.02,0.21,0.096,0.003,-0.022,-0.13,0.6272
2026-04-19 17:25:38,16,0.025,0.4,138.07,46.66,12.42,-7.82,0.0206,0.4089,137.4,48.6,0.01,0.25,0.102,0.016,-0.008,-0.132,0.6272
2026-04-19 17:25:38,17,0.02666666666666667,0.4,137.81,46.39,13.27,-7.3,0.0244,0.409,136.8,48.0,0.01,0.19,0.101,0.013,0.589,-0.28,0.1043
2026-04-19 17:25:38,18,0.028333333333333335,0.4,137.56,46.12,12.72,-7.37,0.0264,0.407,136.8,47.4,0.02,0.26,0.1,0.022,0.409,-0.074,0.2202
2026-04-19 17:25:38,19,0.03,0.4,137.3,45.85,12.69,-8.21,0.0264,0.407,136.8,47.4,0.01,0.28,0.106,0.03,0.449,-0.074,0.2202
2026-04-19 17:25:38,20,0.03166666666666667,0.4,137.04,45.58,12.55,-7.7,0.0284,0.405,136.8,46.8,0.03,0.27,0.092,0.025,34.062,9.534,0.0027
2026-04-19 17:25:38,21,0.03333333333333333,0.4,136.78,45.32,12.36,-7.7,0.0304,0.403,136.8,46.2,0.02,0.24,0.1,0.011,-0.055,-0.042,-1.2867
2026-04-19 17:25:38,22,0.034999999999999996,0.4,136.53,45.05,13.07,-7.54,0.0342,0.403,136.2,45.6,0.02,0.22,0.097,0.001,-0.008,-0.051,-0.7304
2026-04-19 17:25:38,23,0.03666666666666667,0.4,136.27,44.79,13.36,-7.34,0.0381,0.4031,135.6,45.0,0.02,0.25,0.1,0.014,-0.041,-0.029,-0.5535
