Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 14:22:53,1,0.1,0.35,131.36,27.4,15.0,-6.31,0.1621,0.4111,113.4,30.0,0.01,0.16,0.104,0.029,0.048,-0.098,1.2524
2026-04-19 14:22:53,2,0.09995065603657316,0.3531410759078128,131.05,27.91,10.23,-0.78,0.1621,0.4111,113.4,30.0,0.13,0.14,0.042,0.04,0.043,-0.04,1.2524
2026-04-19 14:22:53,3,0.09980267284282716,0.3562790519529313,130.75,28.43,15.0,-0.97,0.1611,0.4073,114.0,29.4,1.03,0.46,-0.403,0.122,0.034,0.434,1.0015
2026-04-19 14:22:53,4,0.099556196460308,0.3594108313318514,130.47,28.97,8.74,0.04,0.1363,0.3883,120.6,28.8,0.01,0.09,-0.106,0.062,-0.063,0.098,-0.6292
2026-04-19 14:22:53,5,0.0992114701314478,0.3625333233564304,130.2,29.52,12.04,0.1,0.1271,0.3817,123.0,28.8,0.05,0.08,-0.081,0.069,0.052,-0.043,-1.4562
2026-04-19 14:22:53,6,0.09876883405951378,0.3656434465040231,129.95,30.08,10.22,1.75,0.1194,0.3722,125.4,28.2,0.08,0.02,-0.067,0.097,0.058,0.072,2.6126
2026-04-19 14:22:53,7,0.09822872507286888,0.3687381314585724,129.71,30.65,13.49,2.09,0.1217,0.374,124.8,28.2,0.03,0.11,0.093,0.055,-0.348,-0.014,-1.1677
2026-04-19 14:22:53,8,0.09759167619387475,0.3718143241396542,129.49,31.23,15.0,3.12,0.1284,0.3792,123.0,28.2,0.02,0.04,0.099,0.087,-0.315,0.059,-1.0437
2026-04-19 14:22:53,9,0.09685831611286311,0.37486898871648544,129.28,31.83,15.0,2.25,0.1279,0.3858,122.4,29.4,0.07,0.18,0.075,-0.017,0.168,-0.022,1.1035
2026-04-19 14:22:53,10,0.09602936856769431,0.3778991106039229,129.08,32.43,14.63,2.29,0.1205,0.3873,123.6,30.6,0.02,0.1,-0.098,-0.06,0.013,-0.068,6.3706
2026-04-19 14:22:54,11,0.09510565162951536,0.38090169943749475,128.91,33.04,15.0,2.99,0.1168,0.3879,124.2,31.2,0.02,0.09,-0.1,-0.063,-0.156,-0.063,1.8669
2026-04-19 14:22:54,12,0.09408807689542255,0.3838737920245291,128.74,33.66,15.0,4.21,0.1168,0.3879,124.2,31.2,0.0,0.07,-0.107,-0.074,-0.17,-0.071,1.8669
2026-04-19 14:22:54,13,0.09297764858882515,0.38681245526846775,128.59,34.29,15.0,3.23,0.1138,0.3927,124.2,32.4,0.0,0.06,-0.106,-0.08,-2.623,-2.856,0.052
2026-04-19 14:22:54,14,0.09177546256839812,0.38971478906347806,128.46,34.92,15.0,4.14,0.1123,0.3951,124.2,33.0,0.0,0.21,-0.107,-0.005,0.019,0.094,-0.9383
2026-04-19 14:22:54,15,0.09048270524660196,0.39257792915650724,128.34,35.56,15.0,3.46,0.1091,0.3998,124.2,34.2,0.01,0.05,-0.105,-0.084,-12.45,-3.724,0.0118
