Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien
2026-04-19 14:26:56,1,0.0,0.4,141.77,50.8,15.0,-15.0,-0.0135,0.4546,134.4,60.6,0.01,0.03,-0.103,-0.092,3.123,-0.349,-0.0612
2026-04-19 14:26:56,2,0.0016666666666666668,0.4,141.53,50.52,4.64,-7.12,-0.0135,0.4546,134.4,60.6,0.01,0.03,-0.103,-0.092,3.145,-0.351,-0.0612
2026-04-19 14:26:56,3,0.0033333333333333335,0.4,141.29,50.24,3.49,-12.42,-0.0231,0.4442,137.4,60.6,0.97,0.19,-0.374,-0.015,0.152,0.319,-0.8077
2026-04-19 14:26:56,4,0.005000000000000001,0.4,141.05,49.96,-2.57,-13.86,-0.0392,0.4246,142.8,60.6,0.46,0.31,-0.12,-0.043,-1.813,2.607,0.0377
2026-04-19 14:26:56,5,0.006666666666666667,0.4,140.8,49.68,2.77,-15.0,-0.0358,0.4291,141.6,60.6,0.07,0.33,0.074,-0.055,0.046,-0.002,9.5252
2026-04-19 14:26:56,6,0.008333333333333333,0.4,140.56,49.4,3.66,-15.0,-0.0281,0.4341,139.8,60.0,0.41,0.35,0.095,0.063,-0.183,0.013,-0.5733
2026-04-19 14:26:56,7,0.010000000000000002,0.4,140.31,49.12,7.07,-15.0,-0.0121,0.44,136.8,58.2,0.0,0.37,0.107,0.075,-0.124,-0.149,-0.9812
2026-04-19 14:26:57,8,0.011666666666666667,0.4,140.07,48.84,5.26,-15.0,-0.0053,0.4349,136.8,56.4,0.03,0.41,0.092,0.094,0.155,0.066,2.1271
2026-04-19 14:26:57,9,0.013333333333333334,0.4,139.82,48.57,3.1,-15.0,-0.0087,0.4268,138.6,55.8,0.03,0.38,-0.094,0.078,-0.157,0.16,0.3084
2026-04-19 14:26:57,10,0.015,0.4,139.57,48.29,3.54,-15.0,-0.0061,0.4212,139.2,54.6,0.04,0.35,-0.089,0.065,0.043,0.085,0.9471
2026-04-19 14:26:57,11,0.016666666666666666,0.4,139.33,48.02,4.59,-15.0,-0.0021,0.4215,138.6,54.0,0.06,0.3,0.079,0.042,0.105,-0.086,0.7783
2026-04-19 14:26:57,12,0.018333333333333333,0.4,139.08,47.74,5.84,-14.74,0.0081,0.4204,137.4,52.2,0.02,0.33,0.096,0.056,-1.161,-1.038,-0.0992
2026-04-19 14:26:57,13,0.020000000000000004,0.4,138.83,47.47,5.04,-15.0,0.0102,0.4185,137.4,51.6,0.01,0.34,0.106,0.062,0.232,0.105,1.2273
2026-04-19 14:26:57,14,0.021666666666666667,0.4,138.57,47.2,5.21,-15.0,0.0123,0.4166,137.4,51.0,0.04,0.27,0.09,0.026,0.134,0.019,4.7856
2026-04-19 14:26:57,15,0.023333333333333334,0.4,138.32,46.93,5.15,-15.0,0.0144,0.4147,137.4,50.4,0.0,0.27,0.107,0.023,0.104,0.009,14.4855
